ابعاد,وزن,فناوری صفحه نمایش,بازه ی اندازه صفحه نمایش,توضیحات سیم کارت,اندازه,ساختار بدنه,ویژگی های خاص,رزولوشن,تراکم پیکسلی,تعداد سیم کارت,نسبت صفحه نمایش به بدنه,زمان معرفی,نسبت تصویر,محافظت,مدل,شناسه کالا,سایر قابلیت ها,تراشه,پردازنده ی مرکزی,نوع پردازنده,شبکه های ارتباطی,پردازنده ی گرافیکی,شبکه 2G,حافظه داخلی,شبکه 3G,مقدار RAM,شبکه 4G,پشتیبانی از کارت حافظه,شبکه 5G,فناوری های ارتباطی,رادیو,Wi-Fi,بلوتوث,فن آوری موبایل,درگاه های ارتباطی,نسخه بلوتوث,دوربین های پشت گوشی,رزولوشن عکس,فناوری فوکوس,فلش,قابلیت های دوربین,فیلمبرداری,دوربین سلفی,خروجی صدا,توضیحات تکمیلی صدا,سیستم عامل,نسخه سیستم عامل,حس گرها,مشخصات باتری,کارت حافظه,امکانات موبایل,price,فرکانس پردازنده ی مرکزی,ویژگی های کلیدی,استاندارد کارت حافظه,دسته  بندی,بلندگو,توضیحات کارت حافظه جانبی,میزان شارژ مکالمه,صفحه  نمایش دوم,اقلام همراه,توضیحات صفحه نمایش دوم,حداکثر ظرفیت کارت حافظه,قابلیت های موبایل,تعداد رنگ,قابلیت های نرم افزاری,دفترچه تلفن,میزان شارژ آماده به کار,سایر توضیحات اقلام همراه,موسیقی,ویدیو
۱۶۰.۸x۷۸.۱x۷.۷,۲۴۰ گرم,Super Retina XDR OLED,۶.۰ اینچ و بزرگتر,سایز نانو (۸.۸ × ۱۲.۳ میلی‌متر),۶.۷ اینچ,فلز و شیشه (قاب جلو و پشت شیشه‌ای با فریمی از جنس فولاد ضدزنگ) دارای استاندارد IP۶۸ برای مقاومت در برابر آب (به مدت ۳۰ دقیقه در عمق ۶ متر) صفحه نمایش با شیشه مقاوم در برابر خط و خش به همراه محافظ ceramic glass دارای پوشش Oleophobic برای صفحه‌نمایش,دارای بدنه مقاوم,۲۷۷۸x۱۲۸۴ پیکسل,۴۵۸ پیکسل بر اینچ,دو عدد,۸۷.۴,۱۴ سپتامبر ۲۰۲۱,۱۹.۵:۹,Scratch-Resistant Ceramic Glass,iPhone ۱۳ Pro Max,,Scratch-resistant glass oleophobic coating Dolby Vision Wide color gamut True-tone Siri natural language commands and dictation,Apple A۱۵ Bionic (۵ nm) Chipset,Hexa-core CPU,۶۴ بیتی,۲G,Apple GPU (۵-core graphics) GPU,GSM ۸۵۰ / ۹۰۰ / ۱۸۰۰ / ۱۹۰۰ CDMA ۸۰۰ / ۱۹۰۰ برای هردو سیم‌کارت,۲۵۶ گیگابایت,HSDPA ۸۵۰ / ۹۰۰ / ۱۷۰۰(AWS) / ۱۹۰۰ / ۲۱۰۰ CDMA۲۰۰۰ ۱xEV-DO HSPA با سرعت دانلود ۴۲.۲ مگابیت بر ثانیه و آپلود ۵.۷۶ مگابیت بر ثانیه,شش گیگابایت,"۱, ۲, ۳, ۴, ۵, ۷, ۸, ۱۲, ۱۳, ۱۷, ۱۸, ۱۹, ۲۰, ۲۵, ۲۶, ۲۸, ۳۰, ۳۲, ۳۴, ۳۸, ۳۹, ۴۰, ۴۱, ۴۲, ۴۶, ۴۸, ۶۶ - A۲۴۱۲",فاقد پشتیبانی از کارت حافظه,"Sub۶ - mmWave ۱, ۲, ۳, ۵, ۷, ۸, ۱۲, ۲۰, ۲۵, ۲۸, ۳۸, ۴۰, ۴۱, ۶۶, ۷۷, ۷۸, ۷۹",EDGE,ندارد,Wi-Fi ۸۰۲.۱۱ a/b/g/n/ac/۶ dual-band hotspot,A۲DP LE,A-GPS,Lightning,۵.۰,۴ ماژول دوربین,۱۲ مگاپیکسل,AutoFocus,Dual Tone LED,دارای چهار دوربین در پشت گوشی | سه دوربین ۱۲ + ۱۲ + ۱۲ مگاپیکسل (Triple Camera) + یک دروبین TOF ۳D LiDAR scanner (depth) دوربین اول از نوع عریض (Wide) با دریچه‌ی دیافراگم f/۱.۵، فاصله کانونی لنز ۲۶ میلی‌متر (Focus Length ۲۶ mm)، ثبت تصاویر با پیکسلهایی به سایز ۱.۹ میکرومتر (۱.۹µm Pixel Size)، مجهز به لرزشگیر اپتیکال تصویر (Sensor-Shift Optical Image Stabilization)، همراه با فناوری فوکوس اتوماتیک (dual pixel PDAF) دوربین دوم از نوع تله‌فوتو (Telephoto) با دریچه‌ی دیافراگم f/۲.۸، فاصله کانونی لنز ۷۷ میلی‌متر (Focus Length ۷۷ mm)، سایز سنسور ۱/۳.۴ اینچ (Sensor Size ۱/۳.۴ Inch) و ثبت تصاویر با پیکسلهایی به سایز ۱.۰ میکرومتر (۱.۰µm Pixel Size)، مجهز به لرزشگیر اپتیکال تصویر (Optical Image Stabilization)، زوم اپتیکال ۳ برابر (۳x optical zoom) همراه با فناوری فوکوس اتوماتیک (PDAF) دوربین سوم از نوع فوق‌عریض (Ultrawide) با دریچه‌ی دیافراگم f/۲.۴، فاصله کانونی لنز ۱۳ میلی‌متر (Focus Length ۱۳ mm) و سایز سنسور ۱/۳.۶ اینچ (Sensor Size ۱/۳.۶ Inch) دوربین چهارم از نوع عمیق TOF ۳D LiDAR scanner (depth) Quad-LED dual-tone flash HDR (photo/panorama) قابلیت ثبت موقعیت جغرافیایی عکس‌ها و فیلم‌ها (Geo-Tagging) قابلیت فوکوس با اشاره روی سوژه (Touch Focus) قابلیت تشخیص چهره و لبخند (Face and Smile Detection) قابلیت عکاسی پانوراما (Panorama) قابلیت عکاسی HDR,رزولوشن ۲۱۶۰ × ۳۸۴۰ و سرعت ۲۴/۳۰/۶۰ فریم بر ثانیه (۴K@۲۴/۳۰/۶۰fps) رزولوشن ۱۰۸۰ × ۱۹۲۰ و سرعت ۳۰/۶۰/۱۲۰/۲۴۰ فریم بر ثانیه (۱۰۸۰p@۳۰/۶۰/۱۲۰/۲۴۰fps) Dolby Vision HDR (up to ۶۰fps) stereo sound rec قابلیت فیلم‌برداری HDR ضبط صدای استریو ۱۰‑bit HDR ProRes Cinematic mode,سنسور از نوع عریض (Wide) با رزولوشن ۱۲ مگاپیکسل و دریچه‌ی دیافراگم f/۲.۲، فاصله کانونی لنز ۲۳ میلی‌متر (Focus Length ۲۳ mm) و سایز سنسور ۱/۳.۶ اینچ (Sensor Size ۱/۳.۶ Inch) SL ۳D depth/biometrics sensor قابلیت عکاسی HDR فیلمبرداری با رزولوشن ۲۱۶۰ × ۳۸۴۰ و سرعت ۲۴/۳۰/۶۰ فریم بر ثانیه (۴K@۲۴/۳۰/۶۰fps) رزولوشن ۱۰۸۰ × ۱۹۲۰ و سرعت ۳۰/۶۰/۱۲۰ فریم بر ثانیه (۱۰۸۰p@۳۰/۶۰/۱۲۰fps) همراه با تثبیت کننده الکترونیکی تصویر مبتنی بر ژیروسکوپ (gyro-EIS),Lightning,Stereo Speakers,iOS,iOS ۱۵,تشخیص چهره بیومتریک (Face ID),باتری از نوع لیتیوم-یون پشتیبانی از شارژ سریع با توان ۲۰ وات پشتیبانی از شارژ سریع وایرلس ۱۵ وات USB Power Delivery ۲.۰,فاقد قابلیت دریافت کارت حافظه,اطلاعات تماس ها,"۵۵,۲۰۰,۰۰۰",,,,,,,,,,,,,,,,,,,
۱۵۸.۹x۷۳.۶x۸.۴,۱۸۴ گرم,Super AMOLED,۶.۰ اینچ و بزرگتر,سایز نانو (۸.۸ × ۱۲.۳ میلی‌متر),۶.۴ اینچ,پلاستیک و شیشه قاب پشتی ساخته شده از پلاستیک,مجهز به حس‌گر اثرانگشت,۲۴۰۰ × ۱۰۸۰ پیکسل,۴۱۱ پیکسل بر اینچ,دو عدد,۸۴.۶,۲۵ فوریه ۲۰۲۱,۲۰:۹,,,۲۸۰۰۰۰۰۶۳۰۵۶۰,پشتیبانی از رابط کاربری One UI ۳.۱,Mediatek Helio G۸۰ (۱۲ nm) Chipset,Dual-Core Cortex-A۷۶ &amp; Hexa-Core Cortex-A۵۵,۶۴ بیتی,۲G,Mali-G۵۲ MC۲ GPU,GSM ۸۵۰ / ۹۰۰ / ۱۸۰۰ / ۱۹۰۰ برای هر دو سیم کارت,۱۲۸ گیگابایت,HSDPA ۸۵۰ / ۹۰۰ / ۱۷۰۰(AWS) / ۱۹۰۰ / ۲۱۰۰,شش گیگابایت,"LTE band ۱|۲۱۰۰, ۳|۱۸۰۰, ۴|۱۷۰۰/۲۱۰۰, ۵|۸۵۰, ۷|۲۶۰۰, ۸|۹۰۰, ۸|۹۰۰, ۱۲|۷۰۰, ۱۷|۷۰۰, ۲۰|۸۰۰, ۲۸|۷۰۰, ۳۸|۲۶۰۰, ۴۰|۲۳۰۰, ۴۱|۲۵۰۰",,,NFC,,۸۰۲.۱۱ a/b/g/n/acDual-band WiFi Direct Hotspot,"A۲DP, LE",A-GPS,USB Type-C ۲.۰,۵.۰,۴ ماژول دوربین,۶۴ مگاپیکسل,,LED,دارای چهار حسگر دوربین - حسگر اول از نوع عریض (Wide) با رزولوشن ۶۴ مگاپیکسل، دریچه‌ی دیافراگم f/۱.۸، فاصله کانونی لنز ۲۶ میلی‌متر (Focal Length ۲۶ mm)، همراه با فناوری فوکوس اتوماتیک PDAF - حسگر دوم از نوع فوق عریض (Ultrawide) با رزولوشن ۸ مگاپیکسل، دریچه‌ی دیافراگم f/۲.۲ و ثبت تصاویر با پیکسلهایی به سایز ۱.۱۲ میکرومتر (۱.۱۲µm Pixel Size)، زاویه دید ۱۲۳ درجه - حسگر سوم از نوع ماکرو (macro) با رزولوشن ۵ مگاپیکسل، دریچه‌ی دیافراگم f/۲.۴ - حسگر چهارم از نوع عمق (depth) با رزولوشن ۵ مگاپیکسل، دریچه‌ی دیافراگم f/۲.۴ قابلیت عکاسی پانوراما (Panorama) قابلیت عکاسی HDR,رزولوشن ۱۰۸۰ × ۱۹۲۰ و سرعت ۳۰ فریم بر ثانیه (۱۰۸۰p@۳۰FPS),حسگری از نوع عریض (Wide) با رزولوشن ۲۰ مگاپیکسل، دریچه‌ی دیافراگم f/۲.۲ فیلمبرداری: رزولوشن ۱۰۸۰ × ۱۹۲۰ و سرعت ۳۰ فریم بر ثانیه (۱۰۸۰p@۳۰FPS),,,Android,Android ۱۱,اثرانگشت زیر صفحه نمایش (FingerPrint|Under-Display),باتری لیتیوم یونی با ظرفیت ۵۰۰۰ میلی آمپر ساعت قابلیت شارژ سریع با توان ۱۵ وات,,,"۵,۸۵۹,۰۰۰",۲.۰ و ۱.۸ گیگاهرتز,,,,,,,,,,,,,,,,,,
۸.۱×۷۳.۹×۱۵۹.۹,۱۷۹ گرم,AMOLED,۶.۰ اینچ و بزرگتر,سایز نانو (۸.۸ × ۱۲.۳ میلی‌متر),۶.۴۳ اینچ,,فبلت,۱۰۸۰×۲۴۰۰,۴۰۹ پیکسل بر اینچ,دو عدد,۸۴.۵,۲۶ ژانویه ۲۰۲۲,۲۰:۹,Corning Gorilla Glass ۳,Redmi Note ۱۱,,نرخ بروزرسانی ۹۰ هرتز حداکثر روشنایی ۱۰۰۰ نیت (شمع در متر مربع),Qualcomm SM۶۲۲۵ Snapdragon ۶۸۰ ۴G Chipset,۴x Kryo ۲۶۵ Gold &amp; ۴x Kryo ۲۶۵ Silver,۶۴ بیتی,۲G,Adreno ۶۱۰,GSM ۸۵۰ / ۹۰۰ / ۱۸۰۰ / ۱۹۰۰ برای هر دو سیم‌کارت,۱۲۸ گیگابایت,HSDPA ۸۵۰ / ۹۰۰ / ۱۷۰۰(AWS) / ۱۹۰۰ / ۲۱۰۰,شش گیگابایت,"۱, ۲, ۳, ۴, ۵, ۷, ۸, ۲۰, ۲۸, ۳۸, ۴۰, ۴۱",microSD,,Wi-Fi,,"Wi-Fi ۸۰۲.۱۱ a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","A۲DP, LE",A-GPS,USB Type-C ۲.۰,۵.۰,۴ ماژول دوربین,۵۰ مگاپیکسل,,LED,دارای دوربین چهارگانه روی قاب پشتی | دوربین ۵۰ مگاپیکسل + ۸ مگاپیکسل + ۲ مگاپیکسل + ۲ مگاپیکسل - دوربین اول از نوع عریض (Wide) با رزولوشن ۵۰ مگاپیکسل، فاصله کانونی لنز ۲۶ میلی‌متر (Focal Length ۲۶ mm)، دریچه‌ی دیافراگم f/۱.۸ - دوربین دوم از نوع (Ultrawide)، با رزولوشن ۸ مگاپیکسل، دریچه‌ی دیافراگم f/۲.۲، زاویه دید ۱۱۸ درجه - دوربین سوم از نوع ماکرو (Macro) با رزولوشن ۲ مگاپیکسل و دریچه‌ی دیافراگم f/۲.۴ - دوربین چهارم از نوع حسگر عمق (Depth Sensor) با رزولوشن ۲ مگاپیکسل و دریچه‌ی دیافراگم f/۲.۴ قابلیت عکاسی HDR قابلیت عکاسی پانوراما (Panorama),رزولوشن ۱۰۸۰ × ۱۹۲۰ و سرعت ۳۰ فریم بر ثانیه (۱۰۸۰p@۳۰FPS),دارای حسگری با رزولوشن ۱۳ مگاپیکسل از نوع عریض، دریچه‌ی دیافراگم f/۲.۴ فیلمبرداری با رزولوشن ۱۹۲۰ × ۱۰۸۰ و سرعت ۳۰ فریم بر ثانیه (۱۰۸۰p@۳۰FPS),,,Android,Android ۱۱,اثرانگشت روی لبه (FingerPrint|Side-Mounted),باتری لیتیوم-پلیمر با ظرفیت ۵۰۰۰ میلی‌آمپرساعت قابلیت شارژ سریع باتری با توان ۳۳ وات (۱۰۰% شارژ در ۶۰ دقیقه),,شیار مجزا برای کارت حافظه,"۵,۳۹۹,۰۰۰",۲.۴ - ۱.۹ گیگاهرتز,مقاوم در برابر پاشش آب (IP۵۳),UFS ۲.۲,,,,,,,,,,,,,,,,
۸.۱×۷۶.۱×۱۶۴.۲,۲۰۵ گرم,AMOLED,۶.۰ اینچ و بزرگتر,سایز نانو (۸.۸ × ۱۲.۳ میلی‌متر),۶.۶۷ اینچ,,فبلت,۱۰۸۰×۲۴۰۰,۳۹۵ پیکسل بر اینچ,دو عدد,۸۶,۲۸ فوریه ۲۰۲۲,۲۰:۹,Corning Gorilla Glass ۵,Poco X۴ Pro ۵G ۲۲۰۱۱۱۶PG,,نرخ بروزرسانی ۱۲۰ هرتز حداکثر روشنایی ۱۲۰۰ نیت (شمع در متر مربع) پشتیبانی از HDR۱۰,Qualcomm SM۶۳۷۵ Snapdragon ۶۹۵ ۵G Chipset,۲x Kryo ۶۶۰ Gold + ۶x Kryo ۶۶۰ Silver,۶۴ بیتی,۲G,Adreno ۶۱۹ GPU,GSM ۸۵۰ / ۹۰۰ / ۱۸۰۰ / ۱۹۰۰ برای هر دو سیم‌کارت,۲۵۶ گیگابایت,HSDPA ۸۰۰ / ۸۵۰ / ۹۰۰ / ۱۷۰۰(AWS) / ۱۹۰۰ / ۲۱۰۰,هشت گیگابایت,"۱, ۲, ۳, ۴, ۵, ۷, ۸, ۱۲, ۱۷, ۱۸, ۱۹, ۲۰, ۲۶, ۲۸, ۳۸, ۴۰, ۴۱",microSD,"۱, ۳, ۵, ۷, ۸, ۲۰, ۲۸, ۳۸, ۴۰, ۴۱, ۷۷, ۷۸",Infrared,,"Wi-Fi ۸۰۲.۱۱ a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","A۲DP, LE",A-GPS,USB Type-C ۲.۰,۵.۱,۳ ماژول دوربین,۱۰۸ مگاپیکسل,AutoFocus,LED,دارای ۳ حسگر دوربین | دوربین‌هایی با رزولوشن ۱۰۸+۸+۲ مگاپیکسل - حسگر اول از نوع عریض (Wide)، با رزولوشن ۱۰۸ مگاپیکسل، دریچه‌ی دیافراگم f/۱.۹، فاصله کانونی لنز ۲۶ میلی‌متر (Focal Length ۲۶mm)، ثبت تصاویر با پیکسلهایی به سایز ۰.۷ میکرومتر (۰.۷µm Pixel Size)، سایز سنسور ۱/۱.۵۲ اینچ (Sensor Size ۱/۱.۵۲ Inch)، مجهز به فناوری فوکوس اتوماتیک از نوع PDAF - حسگر دوم از نوع فوق عریض (ultrawide) با رزولوشن ۸ مگاپیکسل، دریچه‌ی دیافراگم f/۲.۲ و زاویه دید ۱۱۸ درجه - حسگر سوم از نوع ماکرو (macro) با رزولوشن ۲ مگاپیکسل، دریچه‌ی دیافراگم f/۲.۴ قابلیت عکاسی پانوراما (Panorama) قابلیت عکاسی HDR,رزولوشن ۱۰۸۰ × ۱۹۲۰ و سرعت ۳۰ فریم بر ثانیه (۱۰۸۰p@۳۰FPS),یک دوربین در قسمت جلویی | حسگر با رزولوشن ۱۶ مگاپیکسل از نوع عریض (wide) و دریچه دیافراگم f/۲.۵ فیلمبرداری: رزولوشن ۱۰۸۰ × ۱۹۲۰ و سرعت ۳۰ فریم بر ثانیه (۱۰۸۰p@۳۰FPS),,,Android,Android ۱۱,اثرانگشت روی لبه (FingerPrint|Side-Mounted),باتری لیتیوم‌-پلیمر با ظرفیت ۵۰۰۰ میلی‌آمپرساعت قابلیت شارژ سریع با توان ۶۷ وات پشتیبانی از تکنولوژی شارژ سریع Quick Charge ۳+ توانایی شارژ صفر تا صد درصدی در مدت زمان ۴۱ دقیقه,,,"۸,۳۴۹,۰۰۰",۱.۷ - ۲.۲ گیگاهرتز,,UFS ۲.۲,‌میان‌رده,,,,,,,,,,,,,,,
۸.۱۰×۷۴.۸۰×۱۵۹.۶۰,۱۹۰ گرم,Super AMOLED,۶.۰ اینچ و بزرگتر,سایز نانو (۸.۸ × ۱۲.۳ میلی‌متر),۶.۴۶ اینچ,,فبلت,۱۰۸۰×۲۴۰۰,۴۰۷ پیکسل بر اینچ,دو عدد,,,۲۰:۹,,Galaxy A۵۳ ۵G SM-A۵۳۶E/DS,,نرخ بروزرسانی ۱۲۰ هرتز حداکثر روشنایی ۸۰۰ نیت (شمع در متر مربع) پشتیبانی از HDR۱۰ پلاس,Exynos ۱۲۰۰ Chipset,Octa-core,۶۴ بیتی,۲G,Mali-G۶۸,GSM ۸۵۰ / ۹۰۰ / ۱۸۰۰ / ۱۹۰۰ برای هر دو سیم‌کارت,۲۵۶ گیگابایت,HSDPA ۸۵۰ / ۹۰۰ / ۱۷۰۰(AWS) / ۱۹۰۰ / ۲۱۰۰,هشت گیگابایت,LTE,microSD,SA/NSA/Sub۶,GPRS,,"Wi-Fi ۸۰۲.۱۱ a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","A۲DP, LE",A-GPS,USB Type-C ۲.۰,۵.۲,۴ ماژول دوربین,۶۴ مگاپیکسل,AutoFocus,LED,دارای ۴ حسگر دوربین | دوربین‌هایی با رزولوشن ۶۴+۱۲+ ۵+۵ مگاپیکسل - حسگر اول از نوع عریض (Wide)، با رزولوشن ۶۴ مگاپیکسل، دریچه‌ی دیافراگم f/۱.۸، فاصله کانونی لنز ۲۶ میلی‌متر (Focal Length ۲۶ mm)، ثبت تصاویر با پیکسلهایی به سایز ۰.۸ میکرومتر (۰.۸µm Pixel Size)، سایز سنسور ۱/۱.۷ اینچ (Sensor Size ۱/۱.۷ Inch)، مجهز به فناوری فوکوس اتوماتیک از نوع PDAF و مجهز به لرزشگیر اپتیکال تصویر (Optical Image Stabilization) - حسگر دوم از نوع فوق عریض (ultrawide) با رزولوشن ۱۲ مگاپیکسل، دریچه‌ی دیافراگم f/۲.۲ و زاویه دید ۱۲۳ درجه - حسگر سوم از نوع ماکرو (macro) با رزولوشن ۵ مگاپیکسل و دریچه دیافراگم f/۲.۴ - حسگر چهارم از نوع سنجش عمق (depth) با رزولوشن ۵ مگاپیکسل و دریچه دیافراگم f/۲.۴ قابلیت عکاسی پانوراما (Panorama) قابلیت عکاسی HDR,رزولوشن ۲۱۶۰ × ۳۸۴۰ و سرعت ۳۰ فریم بر ثانیه (۴K@۳۰FPS) رزولوشن ۱۰۸۰ × ۱۹۲۰ و سرعت ۶۰ فریم بر ثانیه (۱۰۸۰p@۶۰FPS) رزولوشن ۱۰۸۰ × ۱۹۲۰ و سرعت ۳۰ فریم بر ثانیه (۱۰۸۰p@۳۰FPS),یک دوربین در قسمت جلو | حسگر با رزولوشن ۳۲ مگاپیکسل، گشودگی دریچه دیافراگم f/۲.۲، فاصله کانونی لنز ۲۶ میلی‌متر (Focal Length ۲۶ mm)، ثبت تصاویر با پیکسلهایی به سایز ۰.۸ میکرومتر (۰.۸µm Pixel Size)، سایز سنسور ۱/۲.۸ اینچ (Sensor Size ۱/۲.۸ Inch) فیلمبرداری: رزولوشن ۲۱۶۰ × ۳۸۴۰ و سرعت ۳۰ فریم بر ثانیه (۴K@۳۰FPS) رزولوشن ۱۰۸۰ × ۱۹۲۰ و سرعت ۳۰ فریم بر ثانیه (۱۰۸۰p@۳۰FPS),,,Android,Android ۱۲,اثرانگشت زیر صفحه نمایش (FingerPrint|Under-Display),باتری لیتیوم‌-پلیمر با ظرفیت ۵۰۰۰ میلی‌آمپرساعت قابلیت شارژ سریع با توان ۲۵ وات,,,"۱۰,۶۶۹,۰۰۰",۲.۰ - ۲.۴ گیگاهرتز,,,,,,,,,,,,,,,,,,
